Rice_Facility_Name,HHD_WWTP_Name,Short_name,LS_name,BlockGroup_Pops,Primary_WWTP,Primary_Percent
Afton Village,AFVI_LS,AFTON VILLAGE,AFTON VILLAGE,2442,69TH STREET,1
Aldine Bender LS FN300,ALDB_LS,ALDINE BENDER,ALDINE BENDER,3049,IMPERIAL VALLEY,0.987
Alief Central FN545,ALIEC-LS,ALIEF CENTRAL,ALIEF CENTRAL,11114,UPPER BRAYS,0.993
Ayreshire,,AYRESHIRE,AYRESHIRE,6706,SOUTHWEST,0.998
BALLANTINE (CFS),BALLA_LS,BALLANTINE,BALLANTINE (CFS),8231,SOUTHEAST,0.919
Banner LS FN 221,BANNRD_LS,BANNER,BANNER ROAD,715,NORTHEAST,0.938
Belle Park,Bell_LS,BELLE PARK#1,BELLE PARK #1,6196,BELTWAY,0.955
Belmont LS,,BELMONT,BELMONT LS,15074,SIMS BAYOU,0.999
Berkley,BERK_LS,BERKLEY,BERKLEY,10690,SIMS BAYOU,1
Bintliff,BINT_LS,BINTLIFF,BINTLIFF,10644,SOUTHWEST,0.964
Bissonnet  No. 4,BISS4_LS,BISSONNET#4,BISSONNET #4,54978,KEEGANS BAYOU,0.817
Blue Bell,BLUEB_LS,BLUE BELL,BLUE BELL,1873,69TH STREET,0.377
BRETSHIRE #2,BRET_LS,BRETSHIRE#2,BRETSHIRE #2,7750,FWSD#23,0.877
Brock LS 26,,BROCK,BROCK,27548,SIMS BAYOU,0.997
Carvel,CARV_LS,CARVEL,CARVEL LANE,20741,SOUTHWEST,1
Chatwood,CHAT_LS,CHATWOOD,CHATWOOD,2594,FWSD#23,1
Cherry oak,CHER _LS,CHERRY OAK,CHERRY OAK (CFS),11456,NORTHWEST,0.995
Chimney Rock No.2,CHIM2_LS,CHIMNEY ROCK#2,CHIMNEY ROCK #2 (CFS),17108,SOUTHWEST,0.996
Clinton Dr #2,CLIN#2_LS,CLINTON DRIVE#2,CLINTON DRIVE #2,373937,69TH STREET,0.979
COOK RD.,COOKRD_LS,COOK RD,COOK RD.,10448,WCID#111,0.932
De Priest,PRIE_LS,DE PRIEST,DE PRIEST,4849,69TH STREET,0.979
Eddington LS 459,EDDI_LS,EDDINGTON,EDDINGTON,11946,SIMS BAYOU,0.93
FAIRWAY,FAIRW_LS,FAIRWAY,FAIRWAY,6160,SIMS BAYOU,1
Ferguson Way,FERG-LS,FERGUSON WAY,FERGUSON WAY,2013,NORTHWEST,0.999
Findlay,,FINDLAY,FINDLAY,4858,SIMS BAYOU,1
Fondren No.2,FON2_LS,FONDREN#2,FONDREN #2,17237,SOUTHWEST,0.998
GARDEN VILLAS (CFS),,GARDEN VILLAS,GARDEN VILLAS (CFS),5540,SIMS BAYOU,0.997
GENOA,GENOA_LS,GENOA,GENOA,2278,WCID#47,0.497
GILPIN,,GILPIN,GILPIN,9837,WCID#47,1
GULF FREEWAY #2,,GULF FREEWAY#2,GULF FREEWAY #2,32746,SIMS BAYOU,0.988
Heights,HEIG-LS,HEIGHTS,HEIGHTS,1724,69TH STREET,1
HORSE PEN GULLEY,,HORSE PEN GULLEY,HORSE PEN GULLEY,2612,METRO CENTRAL,0.998
Janisch Rd,,JANISCH RD,JANISCH RD.,783,69TH STREET,1
Kirkwood #3 LS/CFS 340,KIRK _LS,KIRKWOOD#3,KIRKWOOD #3 (CFS),17464,TURKEY CREEK,0.98
Langley Rd FN#635,LANGRD1_LS,LANGLEY RD,LANGLEY ROAD (HALL PARK #1),2658,69TH STREET,0.151
Lockwood,,LOCKWOOD,LOCKWOOD,5281,69TH STREET,0.996
MUD No. 123,MUD123_LS,MUD#123,M.U.D. #123,11441,KEEGANS BAYOU,0.831
M.U.D 175-1 LS 281,MUD175_LS,MUD#175,M.U.D. #175-1,5607,TURKEY CREEK,0.971
Magnolia Park,,MAGNOLIA PARK,MAGNOLIA PARK (CFS),19943,69TH STREET,0.977
Market Street No.1,,MARKET ST #1,MARKET ST. #1 (CFS),9779,69TH STREET,1
Maxey LS FN 411,,MAXEY RD,MAXEY RD.,7270,NORTHEAST,0.995
Mitchell LS FN473,WMIT_LS,MITCHELL,MITCHELL,1798,69TH STREET,0.804
North Eldridge,NELD-LS,N ELDRIDGE,N. ELDRIDGE,4541,TURKEY CREEK,0.943
Parker LS FN542,,PARKER RD,PARKER RD. (CFS),4511,69TH STREET,0.986
S. Post Oak No. 1,SPO1_LS,POST OAK#1,POST OAK #1,8412,GREENRIDGE,0.994
RED GULLY,,RED GULLY,RED GULLY,2724,FWSD#23,1
Richmond Ave No.1 FN349,RICHC-LS,RICHMOND AVE#1,RICHMOND AVE. #1,14857,BELTWAY,0.953
Saddle Brook,SABR_LS,SADDLE BROOK,SADDLE BROOK,1620,69TH STREET,0.998
San Felipe FN140,SAN _LS,SAN FELIPE,SAN FELIPE,9241,SOUTHWEST,0.989
SCOTT #1 (CFS),,SCOTT#1,SCOTT #1 (CFS),20087,SIMS BAYOU,0.951
Songwood LS FN457,,SONGWOOD,SONGWOOD,2128,NORTHEAST,0.991
Stella Link FN575,STEL_LS,STELLALINK,STELLALINK,5673,SOUTHWEST,0.937
TEXAS,,TEXAS,TEXAS,4864,69TH STREET,0.998
TREEWATER,TREEW_LS,TREEWATER,TREEWATER,7221,BELTWAY,0.999
W. OAK MEADOWS,,W OAK MEADOWS,W. OAK MEADOWS,12177,SIMS BAYOU,0.945
WCID #028,WCID28-LS,WCID#028,W.C.I.D. #028 (HEMPSTEAD) (CFS),22510,NORTHWEST,0.947
W.C.I.D. 78,WCID_LS,WCID#078,W.C.I.D. #078,6350,BELTWAY,0.984
W Canino,WESC_LS,WEST CANINO,WEST CANINO RD.,958,69TH STREET,0.73
West Orem,WOREM_LS,WEST OREM,WEST OREM,3687,ALMEDA SIMS,0.996
Westhollow Dr. FN297,WEST_LS,WESTHOLLOW,WESTHOLLOW DR.,3171,OCSL,0.003
Westpark No.1 FN208,WESTC-LS,WESTPARK#1,WESTPARK #1 (CFS),43088,SOUTHWEST,0.9
Woodway No. 1 LS FN 153,WOOD1_LS,WOODWAY#1,WOODWAY #1,2424,69TH STREET,0.999
