CampusID,school_id,X,Y,County_Name,District_Name,District_Type,Instruction,Address,City,State,Zip5,Grade_Range,Grade_Level,Grade_Level_2,Enrollment_as_Oct2019,In_City,school_name,Facility,Facility Type,Symbol
'101912107,HIS101912107,-95.369739,29.874327,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,12001 WINFREY LN,HOUSTON,TX,77076,'EE-05,Elementary,Elementary,659,Yes,BARRICK ELEMENTARY,BARRICK EL,School,BAR E
'101912295,HIS101912295,-95.492417,29.716418,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,6262 GULFTON ST,HOUSTON,TX,77081,'EE-05,Elementary,Elementary,1028,Yes,BENAVIDEZ ELEMENTARY SCHOOL,BENAVIDEZ EL,School,BEN E
'101912382,HIS101912382,-95.454137,29.60598,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,4842 ANDERSON RD,HOUSTON,TX,77053,'EE-08,Elementary,Elementary,1006,Yes,BILLY REAGAN K8 EDUCATIONAL CENTER,REAGAN K-8 EDUCATIONAL CTR,School,REA C
'101912112,HIS101912112,-95.260818,29.676809,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,8100 ELROD ST,HOUSTON,TX,77017,'EE-05,Elementary,Elementary,797,Yes,BONNER ELEMENTARY,BONNER EL,School,BON E
'101912114,HIS101912114,-95.487709,29.695635,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,7707 RAMPART ST,HOUSTON,TX,77081,'EE-05,Elementary,Elementary,639,Yes,BRAEBURN ELEMENTARY SCHOOL,BRAEBURN EL,School,BRA E
'101912117,HIS101912117,-95.298719,29.730355,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,321 FOREST HILL,HOUSTON,TX,77011,'EE-05,Elementary,Elementary,262,Yes,BRISCOE ELEMENTARY,BRISCOE EL,School,BRI E
'101912119,HIS101912119,-95.314824,29.698029,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,6301 S LOOP E,HOUSTON,TX,77087,'EE-05,Elementary,Elementary,900,Yes,BROOKLINE ELEMENTARY,BROOKLINE EL,School,BRO E
'101912027,HIS101912027,-95.254825,29.68677,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,8501 HOWARD,HOUSTON,TX,77017,'09-12,High School,High School,2888,Yes,CESAR CHAVEZ HIGH SCHOOL,CHAVEZ H S,School,CHV S
'101912323,HIS101912323,-95.457672,29.721717,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,5601 W LOOP S,HOUSTON,TX,77081,'09-12,High School,High School,463,Yes,CHALLENGE EARLY COLLEGE HIGH SCHOOL,CHALLENGE EARLY COLLEGE H S,School,CHL S
'101912132,HIS101912132,-95.348767,29.858373,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,10130 ALDINE WESTFIELD RD,HOUSTON,TX,77093,'EE-05,Elementary,Elementary,736,Yes,COOP ELEMENTARY SCHOOL,COOP EL,School,COO E
'101912133,HIS101912133,-95.294736,29.677617,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,7475 WESTOVER ST,HOUSTON,TX,77087,'EE-05,Elementary,Elementary,867,Yes,CORNELIUS ELEMENTARY SCHOOL,CORNELIUS EL,School,COR E
'101912290,HIS101912290,-95.287896,29.699334,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,7500 OFFICE CITY DR,HOUSTON,TX,77012,'EE-05,Elementary,Elementary,766,Yes,CRESPO ELEMENTARY,CRESPO EL,School,CRE E
'101912136,HIS101912136,-95.46885,29.717964,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,5100 GULFTON ST,HOUSTON,TX,77081,'EE-05,Elementary,Elementary,699,Yes,CUNNINGHAM ELEMENTARY,CUNNINGHAM EL,School,CUN E
'101912124,HIS101912124,-95.318545,29.746062,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,5403 CANAL ST,HOUSTON,TX,77011,'EE KG-05,Elementary,Elementary,487,Yes,DAVID G BURNET DUAL LANGUAGE ELEMENTARY SCHOOL,BURNET EL,School,BUR E
'101912297,HIS101912297,-95.284306,29.714545,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,7610 DAHLIA ST,HOUSTON,TX,77012,'EE-05,Elementary,Elementary,404,Yes,DAVILA ELEMENTARY,DAVILA EL,School,DAV E
'101912137,HIS101912137,-95.377109,29.860974,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,155 COOPER,HOUSTON,TX,77076,'EE-05,Elementary,Elementary,843,Yes,DE CHAUMES ELEMENTARY,DE CHAUMES EL,School,DEC E
'101912045,HIS101912045,-95.278752,29.704572,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,2500 BROADWAY ST,HOUSTON,TX,77012,'06-08,Middle,Middle,669,Yes,DEADY MIDDLE SCHOOL,DEADY MIDDLE,School,DEA M
'101912144,HIS101912144,-95.392634,29.866428,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,7301 NORDLING,HOUSTON,TX,77076,'EE-05,Elementary,Elementary,574,Yes,DURKEE ELEMENTARY,DURKEE EL,School,DUR E
'101912046,HIS101912046,-95.300783,29.741402,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,6901 AVE I,HOUSTON,TX,77011,'06-08,Middle,Middle,654,Yes,EDISON MIDDLE SCHOOL,EDISON MIDDLE,School,EDI M
'101912364,HIS101912364,-95.491156,29.6957,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,6201 BISSONNET,HOUSTON,TX,77081,'KG-05,Elementary,Elementary,1682,Yes,ENERGIZED FOR EXCELLENCE ACADEMY INC,ENERGIZED FOR EXCELLENCE ACADEMY EL,School,ENE E
'101912352,HIS101912352,-95.39226,29.864396,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,515 E RITTENHOUSE,HOUSTON,TX,77076,'EE-PK,Elementary,Elementary,434,Yes,FARIAS EARLY CHILDHOOD CENTER,FARIAS EARLY CHILDHOOD CTR,School,FAR C
'101912047,HIS101912047,-95.389398,29.871279,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,725 E LITTLE YORK RD,HOUSTON,TX,77076,'06-08,Middle,Middle,810,Yes,FONVILLE MIDDLE SCHOOL,FONVILLE MIDDLE,School,FON M
'101912470,HIS101912470,-95.264649,29.853855,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,9709 MESA DR,HOUSTON,TX,77078,'EE-KG,Elementary,Elementary,557,Yes,FONWOOD EARLY CHILDHOOD CENTER,FONWOOD EARLY CHILDHOOD CTR,School,FON C
'101912155,HIS101912155,-95.298197,29.739402,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,7101 CANAL ST,HOUSTON,TX,77011,'EE-05,Elementary,Elementary,437,Yes,FRANKLIN ELEMENTARY,FRANKLIN EL,School,FRA E
'101912291,HIS101912291,-95.293346,29.733435,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,7415 HARRISBURG BLVD,HOUSTON,TX,77011,'EE-05,Elementary,Elementary,361,Yes,GALLEGOS ELEMENTARY,GALLEGOS EL,School,GAL E
'101912283,HIS101912283,-95.349049,29.84884,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,9550 ALDINE WESTFIELD RD,HOUSTON,TX,77093,'EE-05,Elementary,Elementary,594,Yes,GARCIA ELEMENTARY SCHOOL,GARCIA EL,School,GAR E
'101912159,HIS101912159,-95.295236,29.688948,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,7414 FAIRWAY DR,HOUSTON,TX,77087,'EE-05,Elementary,Elementary,660,Yes,GOLFCREST ELEMENTARY,GOLFCREST EL,School,GOL E
'101912162,HIS101912162,-95.308276,29.672772,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,6701 ROXBURY,HOUSTON,TX,77087,'EE-05,Elementary,Elementary,553,Yes,GREGG ELEMENTARY,GREGG EL,School,GRE E
'101912051,HIS101912051,-95.302156,29.67381,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,7111 WESTOVER,HOUSTON,TX,77087,'06-08,Middle,Middle,1263,Yes,HARTMAN MIDDLE SCHOOL,HARTMAN MIDDLE,School,HAR M
'101912109,HIS101912109,-95.350302,29.836719,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,2310 BERRY RD,HOUSTON,TX,77093,'EE-05,Elementary,Elementary,800,Yes,JAMES BERRY ELEMENTARY,BERRY EL,School,BER E
'101912359,HIS101912359,-95.39012,29.875527,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,620 E CANINO,HOUSTON,TX,77037,'EE-05,Elementary,Elementary,752,<Null>,JOE E MORENO ELEMENTARY,MORENO EL,School,MOR E
'101912166,HIS101912166,-95.278251,29.719032,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,801 BROADWAY ST,HOUSTON,TX,77012,'EE-05,Elementary,Elementary,412,Yes,JOHN R HARRIS ELEMENTARY,HARRIS J R EL,School,HAR E
'101912357,HIS101912357,-95.319575,29.746208,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,205 N DELMAR,HOUSTON,TX,77011,'EE-KG,Elementary,Elementary,345,Yes,LAURENZO EARLY CHILDHOOD EDUCATION CENTER,LAURENZO EARLY CHILDHOOD CTR,School,LAU C
'101912128,HIS101912128,-95.36658,29.856437,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,800 ROXELLA RD,HOUSTON,TX,77076,'EE-05,Elementary,Elementary,1007,Yes,LYONS ELEMENTARY,LYONS EL,School,LYO E
'101912011,HIS101912011,-95.276799,29.710773,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,1601 BROADWAY,HOUSTON,TX,77012,'09-12,High School,High School,1912,Yes,MILBY HIGH SCHOOL,MILBY H S,School,MIL S
'101912354,HIS101912354,-95.491702,29.701814,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,6203 JESSAMINE,HOUSTON,TX,77081,'EE-KG,Elementary,Elementary,355,Yes,MISTRAL EARLY CHILDHOOD CENTER,MISTRAL CENTER FOR EARLY CHILDHOOD,School,MIS C
'101912209,HIS101912209,-95.529213,29.696789,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,8200 CARVEL LN,HOUSTON,TX,77036,'EE-01,Elementary,Elementary,664,Yes,NEFF EARLY LEARNING CENTER,NEFF EARLY LEARNING CTR,School,NECC
'101912394,HIS101912394,-95.530426,29.701383,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,8301 NEFF ST,HOUSTON,TX,77036,'02-05,Elementary,Elementary,783,Yes,NEFF ELEMENTARY SCHOOL,NEFF EL,School,NEE L
'101912477,HIS101912477,-95.259645,29.867076,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,10726 MESA DR,HOUSTON,TX,77078,'09-12,High School,High School,993,Yes,NORTH FOREST HIGH SCHOOL,NORTH FOREST H S,School,NOR S
'101912210,HIS101912210,-95.386775,29.851488,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,821 WITCHER LN,HOUSTON,TX,77076,'EE-05,Elementary,Elementary,560,Yes,NORTHLINE ELEMENTARY SCHOOL,NORTHLINE EL,School,NOR E
'101912214,HIS101912214,-95.273549,29.688488,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,8235 PARK PL BLVD,HOUSTON,TX,77017,'EE-05,Elementary,Elementary,952,Yes,PARK PLACE ELEMENTARY SCHOOL,PARK PLACE EL,School,PAR E
'101912052,HIS101912052,-95.363976,29.869027,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,10702 E HARDY,HOUSTON,TX,77093,'06-08,Middle,Middle,829,Yes,PATRICK HENRY MIDDLE SCHOOL,HENRY MIDDLE,School,HEN M
'101912216,HIS101912216,-95.242261,29.682378,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,5302 ALLENDALE RD,HOUSTON,TX,77017,'EE-05,Elementary,Elementary,933,Yes,PATTERSON DUAL LANGUAGE AND LITERATURE MAGNET,PATTERSON EL,School,PAT E
'101912113,HIS101912113,-95.337749,29.827118,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,7501 CURRY RD,HOUSTON,TX,77093,'EE-05,Elementary,Elementary,464,Yes,RODERICK PAIGE ELEMENTARY,RODERICK R PAIGE EL,School,ROK E
'101912310,HIS101912310,-95.36108,29.847618,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,9400 IRVINGTON,HOUSTON,TX,77076,'09-12,High School,High School,2614,Yes,SAM HOUSTON MATH SCIENCE AND TECHNOLOGY CENTER,HOUSTON MATH SCIENCE AND TECHNOLOGY CTR,School,HOU C
'101912281,HIS101912281,-95.283468,29.70273,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,2700 BERKLEY ST,HOUSTON,TX,77012,'EE-05,Elementary,Elementary,581,Yes,SANCHEZ ELEMENTARY,SANCHEZ EL,School,SAN E
'101912237,HIS101912237,-95.336802,29.871107,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,3021 LITTLE YORK RD,HOUSTON,TX,77093,'EE-05,Elementary,Elementary,684,Yes,SCARBOROUGH ELEMENTARY,SCARBOROUGH EL,School,SCA E
'101912373,HIS101912373,-95.306674,29.678607,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,5905 WALTRIP,HOUSTON,TX,77087,'EE-05,Elementary,Elementary,545,Yes,SEGUIN ELEMENTARY,SEGUIN EL,School,SEG E
'101912081,HIS101912081,-95.53221,29.699604,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,8330 TRIOLA,HOUSTON,TX,77036,'06-12,Elementary/Secondary,High School,1179,Yes,SHARPSTOWN INTERNATIONAL SCHOOL,SHARPSTOWN INTERNATIONAL,School,SHA S
'101912244,HIS101912244,-95.288426,29.710136,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,1800 CORAL ST,HOUSTON,TX,77012,'EE-05,Elementary,Elementary,583,Yes,SOUTHMAYD ELEMENTARY,SOUTHMAYD EL,School,SOU E
'101912372,HIS101912372,-95.476546,29.718491,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,5858 CHIMNEY ROCK,HOUSTON,TX,77081,'EE-05,Elementary,Elementary,959,Yes,SYLVANRODRIGUEZ ELEMENTARY,RODRIGUEZ EL,School,ROZ E
'101912279,HIS101912279,-95.30978,29.740932,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,6501 SHERMAN ST,HOUSTON,TX,77011,'EE-05,Elementary,Elementary,342,Yes,TIJERINA ELEMENTARY,TIJERINA EL,School,TIJ E
